id,quote
1,You cannot always control what goes on outside.
2,Abundance is not something we acquire.
3,The highest form of ignorance is when you reject something you don't know anything about.
4,Change the way you see things and the things you see will change.
5,"If you don’t make peace with your past, it will keep showing up in your present."
6,"If you believe it will work out, you’ll see opportunities. If you believe it won’t, you will see obstacles."
7,The only limits you have are the limits you believe.
8,Loving people live in a loving world. Hostile people live in a hostile world. Same world.
9,"You will see it, when you believe."
10,"You are important enough to ask, and you are blessed enough to receive back."
